PROJECTID,cohort_col,TESTNAME,n,omnibus_pval,omnibus_qval_fdr_bh,gba_included,log_transform,pd_only
151,HEURISTIC,CD22_2891-1_3,516.0,0.7561630872726017,0.9356424844971537,False,False,True
151,HEURISTIC,CCL28_2890-59_2,516.0,0.32978054394600886,0.7612828255134497,False,False,True
151,HEURISTIC,CTF1_2889-37_2,516.0,0.5152680535527597,0.8472519794563643,False,False,True
151,HEURISTIC,C7_2888-49_2,516.0,0.8062089237259348,0.9491207175270638,False,False,True
151,HEURISTIC,SERPINA3_2879-9_2,516.0,0.6199057110682116,0.8891135902879749,False,False,True
151,HEURISTIC,YES1_2878-66_2,516.0,0.9846874964723084,0.9956229733448209,False,False,True
151,HEURISTIC,UBE2I_2877-3_1,516.0,0.9152855145916736,0.9795558306486055,False,False,True
151,HEURISTIC,TOP1_2876-74_2,516.0,0.3504313229638458,0.7726244053438333,False,False,True
151,HEURISTIC,TBP_2875-15_2,516.0,0.018464144084929506,0.2549512324495351,False,False,True
151,HEURISTIC,RAD51_2871-73_2,516.0,0.9363219873035281,0.9829772066021575,False,False,True
151,HEURISTIC,RAC1_2870-29_2,516.0,0.0006505139248154109,0.03697339609881079,False,False,True
151,HEURISTIC,PRKCD_2869-68_3,516.0,0.8709508135090746,0.9686652910655099,False,False,True
151,HEURISTIC,AKT1_2867-52_2,516.0,0.12578294879018342,0.5550547006636625,False,False,True
151,HEURISTIC,KAT6A_2865-77_2,516.0,0.9095048363562481,0.9786781364464394,False,False,True
151,HEURISTIC,MAP2K1_2864-2_3,516.0,0.022556601280637776,0.2805513156736831,False,False,True
151,HEURISTIC,KPNA2_2860-19_2,516.0,0.4655706523407494,0.8236569450906251,False,False,True
151,HEURISTIC,HDAC8_2859-69_2,516.0,0.6900799288050138,0.9188078601477848,False,False,True
151,HEURISTIC,HAT1_2858-29_2,516.0,0.3676167125712918,0.7802983073278442,False,False,True
151,HEURISTIC,VPS4B_12668-7_3,516.0,0.7225318380043089,0.9288303731030286,False,False,True
151,HEURISTIC,GDA_12667-2_3,516.0,0.04949932913075012,0.38650594375576136,False,False,True
151,HEURISTIC,ILF2_12665-16_3,516.0,0.004372654132108322,0.11755468409543246,False,False,True
151,HEURISTIC,PTPN13_12664-19_3,516.0,0.0015484988441316736,0.061625795517752824,False,False,True
151,HEURISTIC,TST_12663-1_3,516.0,0.0008358864231048837,0.0439334713563083,False,False,True
151,HEURISTIC,ECH1_12662-82_3,516.0,0.00979655504189378,0.1915422441791072,False,False,True
151,HEURISTIC,GABARAPL1_12661-44_3,516.0,0.3288475661409052,0.7612828255134497,False,False,True
151,HEURISTIC,OLA1_12659-13_3,516.0,0.31291586554056744,0.7533223113461616,False,False,True
151,HEURISTIC,PANK3_12658-72_3,516.0,0.2385655984448757,0.6869406350063368,False,False,True
151,HEURISTIC,TSTA3_12657-2_3,516.0,0.8863549146813239,0.9705294911079722,False,False,True
151,HEURISTIC,KLC1_12656-1_3,516.0,0.004345240974819077,0.11755468409543246,False,False,True
151,HEURISTIC,NAPB_12655-30_3,516.0,0.9668113232031527,0.9921478730510083,False,False,True
151,HEURISTIC,CSNK1G2_12653-13_3,516.0,0.2255846628417892,0.6752344347646453,False,False,True
151,HEURISTIC,AHCYL1_12652-37_3,516.0,0.0004160570161989412,0.02785872185178664,False,False,True
151,HEURISTIC,PDK2_12651-21_3,516.0,0.6784375423787604,0.9169320711912496,False,False,True
151,HEURISTIC,GNAI3_12650-43_3,516.0,0.7601842442752974,0.9363568253725177,False,False,True
151,HEURISTIC,MDH2_12649-80_3,516.0,0.11728978520363935,0.5426007442922035,False,False,True
151,HEURISTIC,SETD2_12647-52_3,516.0,0.5411539685218171,0.8547035151875358,False,False,True
151,HEURISTIC,RPE_12646-2_3,516.0,0.26805686405935614,0.7116517155646759,False,False,True
151,HEURISTIC,ADSS_12644-63_3,516.0,0.9760650947154651,0.9933469147805397,False,False,True
151,HEURISTIC,ARRB1_12643-4_3,516.0,0.8784401018936764,0.9694773578813028,False,False,True
151,HEURISTIC,INPP5B_12641-3_3,516.0,0.05163132573544624,0.3931057946960455,False,False,True
151,HEURISTIC,CRAT_12637-7_3,516.0,0.22550506502163567,0.6752344347646453,False,False,True
151,HEURISTIC,SMYD2_12636-113_3,516.0,0.19726884553265012,0.6572444437389386,False,False,True
151,HEURISTIC,TRDMT1_12635-9_3,516.0,0.18136018483022523,0.6405028186918488,False,False,True
151,HEURISTIC,BCAR3_12634-79_3,516.0,4.2442723325403654e-05,0.005887776671618618,False,False,True
151,HEURISTIC,PTPN9_12633-3_3,516.0,0.49652686311438976,0.8400169780114847,False,False,True
151,HEURISTIC,NAT1_12632-14_3,516.0,0.31899317740656935,0.754520176836585,False,False,True
151,HEURISTIC,ARFIP2_12630-8_3,516.0,0.09726743483196769,0.5104141041736526,False,False,True
151,HEURISTIC,LANCL2_12628-31_3,516.0,0.02144396152936036,0.27511308124806677,False,False,True
151,HEURISTIC,ATG7_12627-97_3,516.0,0.38120528318640196,0.7848846343881314,False,False,True
151,HEURISTIC,SENP7_12626-6_3,516.0,0.7427633060548106,0.9341179648014505,False,False,True
151,HEURISTIC,KLHL7_12625-138_3,516.0,0.5041563616783503,0.8418322323196902,False,False,True
