PROJECTID,cohort_col,TESTNAME,UNITS,n,omnibus_pval,omnibus_qval_fdr_bh,outlier_handling,gba_included,log_transform,pd_only
LCC 108,HEURISTIC,CL (72:7/18:2),area ratio,39.0,0.2108880564460432,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,CL (72:8/18:2 ox),area,39.0,0.5962024403858565,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CL (72:8/18:2 ox),area ratio,39.0,0.5809591877475838,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,CL (72:8/18:2),area,39.0,0.3795578434164089,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CL (72:8/18:2),area ratio,39.0,0.2633691012564166,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,CL (72:9/18:2),area,39.0,0.4800960544983026,0.9971167059479212,none,False,False,True
LCC 108,HEURISTIC,CL (72:9/18:2),area ratio,39.0,0.4316580445535395,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,CL (74:10/18:2),area,39.0,0.2943077310369679,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,CL (74:10/18:2),area ratio,39.0,0.1316674809165094,0.8940041470574267,none,False,False,True
LCC 108,HEURISTIC,Cotinine,area,39.0,0.5398284224146794,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cotinine,area ratio,39.0,0.5351954121343784,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Creatine,area,39.0,0.8906299149640186,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Creatine,area ratio,39.0,0.8768352458892824,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Creatinine,area,39.0,0.1511707894874259,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Creatinine,area ratio,39.0,0.8277167738109795,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,Cytosine,area,39.0,0.2746734779273769,0.95665603523153,none,False,False,True
LCC 108,HEURISTIC,Cytosine,area ratio,39.0,0.3252065705117088,0.9910242332962076,none,False,False,True
LCC 108,HEURISTIC,D-Glucose,area,39.0,0.7731906970252,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,D-Glucose,area ratio,39.0,0.8671017842596189,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,D-Mannose,area,39.0,0.1546406079983647,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,D-Mannose,area ratio,39.0,0.2148856296837306,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,Decanoylcarnitine,area,39.0,0.4688571273582442,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,Decanoylcarnitine,area ratio,39.0,0.4972614964418471,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(16:0/20:4),area,39.0,0.9916230407568452,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(16:0/20:4),area ratio,39.0,0.9929681796877566,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/18:1),area,39.0,0.1758089847410514,0.900843707210794,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/18:1),area ratio,39.0,0.4477968630978907,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/20:4),area,39.0,0.8429202134844548,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/20:4),area ratio,39.0,0.7532478991829145,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/22:6),area,39.0,0.3478075177736661,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,DG(18:0/22:6),area ratio,39.0,0.375580056217564,0.9930354163961256,none,False,False,True
LCC 108,HEURISTIC,DG(18:1/18:1),area,39.0,0.879061695680672,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(18:1/18:1),area ratio,39.0,0.957205316387264,0.9991072098267856,none,False,False,True
LCC 108,HEURISTIC,DG(18:1/20:4),area,39.0,0.7959432123023487,0.9991072098267856,none,False,False,True
